"Carimbo de data/hora","Região administrativa onde sua escola se localiza ","Qual seu entendimento sobre o que significa INOVAÇÃO? "
"2022/06/23 2:15:10 PM GMT-3","Lago Norte","Inovação pra mim é algo novo, algo que mude uma concepção ou que seja diferente do senso comum, que seja diferente do que o que a maioria pensa, mas para que algo seja inovador precisa ser feito no mundo físico, não so nas ideias."
"2022/06/23 2:15:17 PM GMT-3","Lago Norte","Inovação. Inovação e algo novo que alguém nunca vez ou pensou."
"2022/06/23 2:15:20 PM GMT-3","Lago Norte","Inovação é trazer algo novo, fazer algo novo, trazer coisas que podem, e provavelmente irão, causar estranheza nas pessoas por ser algo fora do padrão, fora do comum.  "
"2022/06/23 2:15:21 PM GMT-3","Lago Norte","Inovação pra mim é aquilo que é novo, algo que surge de forma espontânea ou planejada e que afeta a vida das pessoas de alguma forma. Como o próprio significado da palavra, a inovação é aquilo que uma vez criado, passa a fazer parte de algo, seja esse a vida de alguém ou de uma sociedade como um todo."
"2022/06/23 2:16:30 PM GMT-3","Lago Norte","Quando falamos de inovação, normalmente nos referimos ao processo de desenvolvimento e aplicação de sistemas considerados NOVOS, atualizados, com características nunca antes observadas. Refere-se à mudança de perspectiva e proposta de um novo modo ou objeto para uso recorrente. "
"2022/06/23 2:17:24 PM GMT-3","Lago Norte","Inovação e algo que ninguém nunca penso ou fez. Pode tanto ser algo novo ou a melhoria de algo existente que já temos."
"2022/06/23 2:19:41 PM GMT-3","Lago Norte"," Para inovação, uma palavras que está bastante em destaque é ""nova"" já que você está disposto a abrir portas para novas coisas, novas experiências e vivências. Inovação é você inovar, fazer descobertas tanto sobre si mesmo quanto sobre coisas do mundo e de outras pessoas. "
"2022/06/23 2:19:50 PM GMT-3","Lago Norte","Inovação é um conceito amplo pois pode se referir a costumes, hábitos, objetos, e uma imensidão de outras coisas, porém, de forma simplificada, Inovação é tudo o que se diferencia daquilo que já existe ao trazer à tona soluções para problemas, do cotidiano ou não, que antes não haviam sido elaboradas, na maioria das vezes contendo tecnologias do período em que for proposta. Resumidamente, Inovação é tudo aquilo que é novo e pode ser proveitoso de alguma forma. "
"2022/06/23 2:20:48 PM GMT-3","Lago Norte","Para mim, inovação é o surgimento de algo. Inovar refere-se ao ato de promover uma mudança e um possível melhoramento em algum sentido."
"2022/06/23 2:20:52 PM GMT-3","Lago Norte","Bem, no meu ver, inovação é algo novo, algo que não havia sido feito antes, algo fora do comum. Inovação não precisa ser algo extremamente grande, pode ser uma coisa pequena, porém, com um significado importante e novo. Diante disso, percebo que a inovação é como uma descoberta, uma descoberta que inovou a sociedade e que tem um bom objetivo. Também podemos citar, que a inovação, já que é uma descoberta, ela é fora do padrão, o que algumas vezes pode causar estranheza mas geralmente inovações geram uma evolução, porque é por meio delas que o mundo vai conseguindo mais conhecimentos. Um claro exemplo de inovação é a tecnologia, que mudou a forma na qual as pessoas viam o mundo. "
"2022/06/23 2:21:24 PM GMT-3","Lago Norte","Inovação eh estar sempre fazendo coisa diferentes saindo do dia a dia. Inovar pode ser também fazer algo revolucionário que pode transformar o mundo. Inovação pode ser também trazer ideias novas. Inovar pode ser mudar algo ou alguma coisa."
"2022/06/23 2:21:37 PM GMT-3","Lago Norte","Uma inovação seria uma descoberta nova que poderia, ou não, mudar o ramo de trabalho de uma área ou ajudar na evolução da humanidade, como por exemplo médicos e cientistas criarem um robô que iria cuidar dos feridos nos hospitais. "
"2022/06/23 2:23:46 PM GMT-3","Lago Norte","Inovação pra mim significa que é algo que sempre está em constante mudança, que está sempre inovando e está sempre em evolução. É algo que pode ocasionar uma coisa boa ou ruim dependendo do ponto de vista que a pessoa tem sobre um determinado assunto. Então inovação pode está querendo dizer sobre o tempo ou sobre uma invenção que pode ocasionar uma inovação."
"2022/06/23 2:24:15 PM GMT-3","Lago Norte","inovação é quando algo que esta ou já esteve em uso muda para algo que nunca foi usado antes, normalmente tentando mudar para o melhor , por exemplo, pessoas usarem carros elétricos invés de carros que usam combustíveis fósseis, para tentar reduzir a quantidade de emissão de gases do efeito estufa."
"2022/06/23 4:04:13 PM GMT-3","Lago Norte","inovação pra mim é criar algo que ninguém pensou ainda, inventar, revolucionar"
"2022/06/23 4:04:16 PM GMT-3","Lago Norte","Algo que nunca tenha sido feito antes "
"2022/06/23 4:05:12 PM GMT-3","Lago Norte","Para mim, inovação significa melhorias a partir de avanços, sejam esses científicos ou até mesmo de cunho social, de modo que certa revolução ocorra, alterando o cenário."
"2022/06/23 4:05:23 PM GMT-3","Lago Norte","criar algo novo"
"2022/06/23 4:14:02 PM GMT-3","Lago Norte","Inovação é uma modificação a partir de algo novo, seja um método ou uma ideia, e que em geral proporciona uma melhoria"
"2022/06/23 4:15:19 PM GMT-3","Lago Norte","Criar algo novo"
"2022/06/23 4:35:03 PM GMT-3","Lago Norte","uma coisa nova, algo diferente doq esta acontecendo no tempo real"
"2022/06/23 4:57:18 PM GMT-3","Lago Norte","Coisas Novas"
"2022/06/23 4:57:42 PM GMT-3","Lago Norte","Algo novo, nunca antes criado"
"2022/06/23 4:57:55 PM GMT-3","Lago Norte","Mostrar algo nunca antes visto "
"2022/06/23 4:58:25 PM GMT-3","Lago Norte","mudanças e melhoras "
"2022/06/23 4:58:32 PM GMT-3","Lago Norte","Inovação é a ação ou o ato de inovar, significa introduzir tecnologia, criar novo fluxo ou rever o atual."
"2022/06/23 4:59:53 PM GMT-3","Lago Norte","Inovação para mim é uma coisa inovadora, que nós ajuda nas atualidades, que faça com que consigamos ter sempre um melhor jeito de se comunicar, de se locomover, de se aprender, então inovação é basicamente uma ""coisa"" para nós ajudar no dia a dia "
"2022/06/23 5:00:05 PM GMT-3","Lago Norte","Inovação é a ideia de inovar, mudar, de preferência, para o melhor."
"2022/06/23 5:00:06 PM GMT-3","Lago Norte","pra mim é sobre trazer algo novo, algo inovador, algo q nn foi visto, ou então melhorar algo ja existente, deixando ele melhor ou com alguma coisa nova. "
"2022/06/23 5:01:09 PM GMT-3","Lago Norte","Inovação para mim é a evolução do seu conhecimento sobre algum assunto relevante "
"2022/06/23 5:02:09 PM GMT-3","Lago Norte","Algo novo que fará do mundo um lugar melhor que irá revolucionar todas as idéias possíveis "
"2022/06/23 5:03:53 PM GMT-3","Lago Norte","Algo novo, desconhecido aos olhos de muitos que beneficia algo ou alguem"
"2022/06/23 5:06:39 PM GMT-3","Lago Norte","nenhum "
"2022/06/23 5:10:57 PM GMT-3","Lago Norte","Inovação é tudo aquilo que é diferente, é descobrir algo novo com o propósito de facilitar a realidade atual. "
"2022/06/23 5:34:49 PM GMT-3","Lago Norte","mudança."
"2022/06/23 5:59:55 PM GMT-3","Lago Norte","algo que não foi pensando antes e que sirva algum propósito específico de evolução em si"
"2022/06/23 6:19:02 PM GMT-3","Lago Norte","inovação significa algo que não é comum, ou visto com frequência, é algo único, não comum."
"2022/06/23 6:48:01 PM GMT-3","Lago Norte","Uma criação nova ou uma descoberta nova, que agregue algo para a sociedade de forma positiva."
"2022/06/23 6:50:24 PM GMT-3","Lago Norte","Evolução"
"2022/06/23 6:53:37 PM GMT-3","Lago Norte","Inovação pra mim é mudar de forma que o que já era imposto antes, seja ultrapassado com a nova reforma. Explicando de uma forma mais simples, a ação de inovar é você mudar algo transformando-o para um modelo mais avançado."
"2022/06/23 8:48:48 PM GMT-3","Lago Norte","Inovação é aquilo que o ser humano está predestinado a ver, pois alterações cotidianas fazem com que cresçamos e nos desenvolvermos, como um amanhecer que sempre vira enquanto se estiver vivo."
"2022/06/24 3:21:01 PM GMT-3","Lago Norte","fazer algo diferente, que contribua para alguém ou algo de certa forma."